case_id,pattern_id,candidate_function,candidate_role,security_sensitive_operation,defensive_operation,source_path,expected,audit_status,verdict,detected_bug,matches_expected,missing_defenses,bug_explanation,prompt_tokens,completion_tokens,total_tokens
P02,PAT02,sti_gdp_init,detected_bug,dma_alloc_wc,dma_free_wc,drivers/gpu/drm/sti/sti_gdp.c,bug,completed,inconsistent,yes,yes,['dma_free_wc on error paths after successful allocation'],"The function calls dma_alloc_wc to allocate DMA memory and stores the base address and dma_addr in gdp->node_list entries. However, on the error paths after the allocation (e.g., alignment checks and the default case in the switch), the function returns without calling dma_free_wc, causing a memory leak. The allocated memory escapes the function only via the gdp structure, but since the function returns an error, the caller may not use the gdp properly, and the cleanup is missing.",1470,180,1650
PAT02-R01,PAT02,acornfb_probe,random_comparable,dma_alloc_wc,dma_free_wc,drivers/video/fbdev/acornfb.c,unknown,completed,inconsistent,yes,n/a,['dma_free_wc on error path after dma_alloc_wc succeeds'],"The function calls dma_alloc_wc to allocate DMA-coherent memory for the framebuffer. If subsequent operations fail (e.g., fb_find_mode returns 0, or register_framebuffer fails), the function returns an error without calling dma_free_wc to release the allocated memory. This results in a memory leak. The allocated memory is stored in fb_info.screen_base and fb_info.fix.smem_start, which are local to the probe function and not released on these error paths.",2289,185,2474
PAT02-R02,PAT02,lima_device_init,random_comparable,dma_alloc_wc,dma_free_wc,drivers/gpu/drm/lima/lima_device.c,unknown,completed,consistent,no,n/a,[],"The function correctly calls dma_free_wc on the error path (err_out3) when dma_alloc_wc succeeded, and the allocated memory is stored in ldev->dlbu_cpu which is part of the device structure (escapes). On success, the resource is not freed locally because it is intended to be used by the device; no local release is required. No bug.",1490,142,1632
PAT02-R03,PAT02,gnttab_dma_alloc_pages,random_comparable,dma_alloc_wc,dma_free_wc,drivers/xen/grant-table.c,unknown,completed,consistent,no,n/a,[],"The function calls dma_alloc_wc (or dma_alloc_coherent) and stores the result in args->vaddr, which is a caller-provided struct field. The resource escapes the function via args, so missing local release is not a bug. On error paths, the function calls gnttab_dma_free_pages(args) which presumably handles cleanup including dma_free_wc. Thus defensive handling is present.",1227,154,1381
PAT02-R04,PAT02,etnaviv_cmdbuf_suballoc_new,random_comparable,dma_alloc_wc,dma_free_wc,drivers/gpu/drm/etnaviv/etnaviv_cmdbuf.c,unknown,completed,consistent,no,n/a,[],"The function calls dma_alloc_wc and, on failure, frees the previously allocated suballoc structure via kfree. There is no need for dma_free_wc because the allocation failed (vaddr is NULL). The successful path returns the suballoc pointer, which escapes the function (returned to caller), so the caller is responsible for cleanup. No bug.",961,143,1104
PAT02-R05,PAT02,mipi_dbi_spi_init,random_comparable,dma_alloc_wc,dma_free_wc,drivers/gpu/drm/drm_mipi_dbi.c,unknown,completed,consistent,no,n/a,[],"The candidate function mipi_dbi_spi_init does not contain any call to dma_alloc_wc, so the security-sensitive behavior described in the reference pattern is not present. Therefore, no defensive handling for dma_free_wc is required.",909,115,1024
PAT02-R06,PAT02,atmel_lcdfb_probe,random_comparable,dma_alloc_wc,dma_free_wc,drivers/video/fbdev/atmel_lcdfb.c,unknown,completed,consistent,no,n/a,[],"The function allocates DMA memory via dma_alloc_wc and stores the pointer and DMA address in the fb_info structure (info->screen_base and info->fix.smem_start). Since the allocated resource escapes the function (it is stored in a caller-provided struct that persists after probe), missing local cleanup is not a bug. The function returns 0 on success and -ENOMEM on allocation failure without leaking, as no resource was acquired on the error path.",1023,165,1188
PAT02-R07,PAT02,copy_gathers,random_comparable,dma_alloc_wc,dma_free_wc,drivers/gpu/host1x/job.c,unknown,completed,inconsistent,yes,n/a,['dma_free_wc on error path after successful dma_alloc_wc'],"The function calls dma_alloc_wc successfully and stores the result in job->gather_copy_mapped. On subsequent error paths (validate failure or remaining relocs), the function returns -EINVAL without calling dma_free_wc to release the DMA buffer. This leaks the allocated DMA memory. The resource is stored in job->gather_copy_mapped, which escapes the function via the job struct, but the function returns an error, so the caller may not know to free it or may not free it on this error path. The missing cleanup on error paths is a real bug.",1303,200,1503
PAT02-R08,PAT02,vsp1_dl_cmd_pool_create,random_comparable,dma_alloc_wc,dma_free_wc,drivers/media/platform/renesas/vsp1/vsp1_dl.c,unknown,completed,consistent,no,n/a,[],"The function allocates DMA memory via dma_alloc_wc and stores it in pool->mem. The pool pointer is returned to the caller, so the resource escapes the function. Therefore, missing local cleanup (dma_free_wc) is not a bug; the caller is responsible for freeing the pool and its DMA memory. All error paths properly free previously allocated resources (kfree(pool->cmds) and kfree(pool)) before returning NULL.",1295,161,1456
PAT02-R09,PAT02,host1x_pushbuffer_init,random_comparable,dma_alloc_wc,dma_free_wc,drivers/gpu/host1x/cdma.c,unknown,completed,consistent,no,n/a,[],"The function correctly handles cleanup on error paths: dma_free_wc is called when iommu_map fails (via iommu_free_mem label), and __free_iova is called before that. No missing defensive handling.",1275,110,1385
P03,PAT03,oaktrail_hdmi_setup,detected_bug,pci_get_device,pci_dev_put,drivers/gpu/drm/gma500/oaktrail_hdmi.c,bug,completed,inconsistent,yes,yes,['pci_dev_put on error path after pci_get_device success'],"pci_get_device is called successfully, incrementing the reference count of pdev. On the error paths (goto free and out), the function returns without calling pci_dev_put(pdev), causing a reference leak. The pdev is stored in hdmi_dev->dev only on the success path, but on error paths hdmi_dev is freed or not allocated, so pdev does not escape and must be released locally.",1173,170,1343
PAT03-R01,PAT03,init_dmars,random_comparable,pci_get_device,pci_dev_put,drivers/iommu/intel/iommu.c,unknown,completed,consistent,no,n/a,[],"The function does not call pci_get_device, so the reference pattern about pci_get_device and pci_dev_put does not apply. No security-sensitive behavior from the pattern is present.",1885,99,1984
PAT03-R02,PAT03,ptp_cavium_clock_get,random_comparable,pci_get_device,pci_dev_put,drivers/net/ethernet/cavium/common/cavium_ptp.c,unknown,completed,consistent,no,n/a,[],The function calls pci_get_device and properly releases the reference via pci_dev_put on the error path (error_put_pdev) and also after successful use (fall-through to error_put_pdev). The iounmap is also correctly paired. No leak or missing cleanup.,922,124,1046
PAT03-R03,PAT03,rnm_to_cpt_errata_fixup,random_comparable,pci_get_device,pci_dev_put,drivers/crypto/marvell/octeontx2/otx2_cptpf_ucode.c,unknown,completed,consistent,no,n/a,[],The function calls pci_get_device and properly releases the reference via pci_dev_put on all paths (including the error path when ioremap fails). The iounmap is also correctly paired. No defensive handling is missing.,949,114,1063
PAT03-R04,PAT03,ixgbe_io_error_detected,random_comparable,pci_get_device,pci_dev_put,drivers/net/ethernet/intel/ixgbe/ixgbe_main.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_device in a loop to find the offending VF device. When a matching VF device is found, it calls pcie_flr(vfdev) and then pci_dev_put(vfdev) to release the reference. The loop correctly releases the previous reference by passing the previous vfdev as the starting point to pci_get_device, which internally drops the reference. On the error path (e.g., if vfdev is NULL or the loop exits without finding a match), no reference is leaked because pci_get_device returns NULL and no reference is held. The function does not return an error after acquiring the reference; it either releases it or continues the loop. Therefore, the defensive handling (pci_dev_put) is present where needed.",2035,227,2262
PAT03-R05,PAT03,Copyright,random_comparable,pci_get_device,pci_dev_put,mm/ksm.c,unknown,completed,consistent,no,n/a,[],"The candidate code does not contain any call to pci_get_device, so the security-sensitive behavior described in the reference pattern is not present. Therefore, no defensive handling for pci_dev_put is required.",1096,104,1200
PAT03-R06,PAT03,cavium_ptp_get,random_comparable,pci_get_device,pci_dev_put,drivers/net/ethernet/cavium/common/cavium_ptp.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_device, which increments the reference count of the PCI device. On the error path when ptp is NULL/ERR_PTR, pci_dev_put is called to release the reference. On the success path, the pdev reference is not released because the returned ptp structure likely holds a reference to pdev (ownership escapes). The function correctly handles the reference count: it releases on error and lets it escape on success. No bug.",884,159,1043
PAT03-R07,PAT03,init_ichxrom,random_comparable,pci_get_device,pci_dev_put,drivers/mtd/maps/ichxrom.c,unknown,completed,inconsistent,yes,n/a,['pci_dev_put on error path'],"The function calls pci_get_device in a loop, which increments the reference count of the returned pci_dev. If the device is found (pdev != NULL), the function calls ichxrom_init_one(pdev, ...) without first releasing the reference via pci_dev_put. The reference is effectively transferred to ichxrom_init_one, but if that function fails or does not properly put the device, the reference is leaked. Additionally, if pdev is found but ichxrom_init_one returns an error, the reference is not released in this function. The function should either put the device before returning or ensure the callee takes ownership. Since the pattern requires paired cleanup and the reference is not released here, this is a bug.",884,223,1107
PAT03-R08,PAT03,pasemi_register_i2c_devices,random_comparable,pci_get_device,pci_dev_put,arch/powerpc/platforms/pasemi/misc.c,unknown,completed,inconsistent,yes,n/a,['pci_dev_put on pdev before continue when adap_node is NULL'],"The function calls pci_get_device in a loop, which increments the reference count of the returned pci_dev. When adap_node is NULL, the code uses 'continue' without calling pci_dev_put(pdev), causing a reference leak. This is a real bug because the pdev reference escapes the loop iteration without being released.",1053,153,1206
PAT03-R09,PAT03,ali_init,random_comparable,pci_get_device,pci_dev_put,drivers/ata/pata_ali.c,unknown,completed,consistent,no,n/a,[],"The function calls pci_get_device and stores the result in a global variable ali_isa_bridge. On the error path (pci_register_driver fails), it correctly calls pci_dev_put. On success, the resource escapes to a global, so no local release is needed. No bug.",823,122,945
P04,PAT04,mtk_pericfg_init,detected_bug,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt7629.c,bug,completed,inconsistent,yes,yes,['mtk_free_clk_data on error path after mtk_alloc_clk_data succeeds'],"The function calls mtk_alloc_clk_data to allocate clk_data, but if of_clk_add_hw_provider fails (r != 0), the function returns directly without calling mtk_free_clk_data, causing a memory leak. The clk_data is not freed because it is not released on that error path.",1014,151,1165
PAT04-R01,PAT04,clk_mt6765_top_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt6765.c,unknown,completed,inconsistent,yes,n/a,['mtk_free_clk_data on error path after of_clk_add_hw_provider fails'],"The function calls mtk_alloc_clk_data to allocate clk_data. If of_clk_add_hw_provider fails (r != 0), the function prints an error but does not free clk_data via mtk_free_clk_data, causing a memory leak. The clk_data is not returned or stored in a way that escapes the function (it is only passed to of_clk_add_hw_provider, which does not take ownership on failure), so local cleanup is required.",1160,189,1349
PAT04-R02,PAT04,clk_mt6779_top_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt6779.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and then passes the allocated clk_data to of_clk_add_hw_provider, which registers it with the framework. This means the resource escapes the function (ownership is transferred to the clock framework). Therefore, no local cleanup (mtk_free_clk_data) is required on the success path. On the error path, the function returns immediately if mtk_alloc_clk_data fails, so there is no resource to release. All subsequent calls (mtk_clk_register_*) do not return errors that would require cleanup of clk_data, as they are void functions. Thus, no defensive handling is missing.",1096,203,1299
PAT04-R03,PAT04,clk_mt6795_infracfg_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt6795-infracfg.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and properly releases it via mtk_free_clk_data on all error paths (free_clk_data label). The clk_data variable does not escape the function (it is only passed to local registration functions that do not take ownership, and the provider registration is undone before reaching free_clk_data). No defensive handling is missing.",1153,144,1297
PAT04-R04,PAT04,__mtk_clk_simple_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mtk.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and properly frees it via mtk_free_clk_data on all error paths (goto free_data). The clk_data variable does not escape the function (it is stored via platform_set_drvdata and passed to of_clk_add_hw_provider, but those are after the point where cleanup is needed; on error paths before registration, the data is freed). No missing defense is present.",2166,156,2322
PAT04-R05,PAT04,clk_mt8195_apmixed_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt8195-apmixedsys.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and properly frees it via mtk_free_clk_data on all error paths (free_apmixed_data label). The resource does not escape before registration; after successful of_clk_add_hw_provider, ownership is transferred to the framework, so no local release is needed. All required defensive handling is present.",1142,142,1284
PAT04-R06,PAT04,clk_mt6765_apmixed_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt6765.c,unknown,completed,inconsistent,yes,n/a,['mtk_free_clk_data on error path after mtk_alloc_clk_data'],"The function calls mtk_alloc_clk_data to allocate clk_data. If of_clk_add_hw_provider fails (r != 0), the function prints an error but does not free clk_data before returning. Since clk_data is not returned or stored in a caller-provided structure (it is only passed to of_clk_add_hw_provider, which does not take ownership on failure), the allocation leaks on this error path. mtk_free_clk_data should be called before returning when r is non-zero.",1109,197,1306
PAT04-R07,PAT04,clk_mt7986_apmixed_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt7986-apmixed.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and, on the error path after of_clk_add_hw_provider fails, correctly calls mtk_free_clk_data. No defensive handling is missing.",950,110,1060
PAT04-R08,PAT04,clk_mt8192_apmixed_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt8192-apmixedsys.c,unknown,completed,consistent,no,n/a,[],"The function correctly calls mtk_free_clk_data on the error path when mtk_alloc_clk_data succeeds, and the resource does not escape on error paths. On success, clk_data is passed to of_clk_add_hw_provider, which takes ownership, so no local release is needed. All required defensive handling is present.",1127,138,1265
PAT04-R09,PAT04,clk_mt6779_apmixed_probe,random_comparable,mtk_alloc_clk_data,mtk_free_clk_data,drivers/clk/mediatek/clk-mt6779.c,unknown,completed,consistent,no,n/a,[],"The function calls mtk_alloc_clk_data and stores the result in clk_data. The clk_data pointer is passed to of_clk_add_hw_provider, which registers it with the framework, causing it to escape the function. Therefore, local release (mtk_free_clk_data) is not required. No error path exists after successful allocation that would leak clk_data, as the subsequent calls (mtk_clk_register_plls, mtk_clk_register_gates, of_clk_add_hw_provider) do not return errors that are checked. The function is consistent with the defensive pattern.",925,198,1123
P05,PAT05,snow_probe,detected_bug,of_clk_get_by_name,clk_put,sound/soc/samsung/snow.c,bug,completed,inconsistent,yes,yes,['clk_put on error path after of_clk_get_by_name success'],"The function acquires a clock via of_clk_get_by_name and stores it in priv->clk_i2s_bus. On the subsequent call to devm_snd_soc_register_card, if it fails, the function returns without calling clk_put. Since priv is allocated with devm_kzalloc, the clock is not automatically released; clk_put must be called explicitly. This results in a resource leak on the error path.",1650,171,1821
PAT05-R01,PAT05,load_one_timing_from_dt,random_comparable,of_clk_get_by_name,clk_put,drivers/memory/tegra/tegra30-emc.c,unknown,completed,consistent,no,n/a,[],"The function does not call of_clk_get_by_name, so the reference pattern about clk_put does not apply. No security-sensitive behavior from the pattern is present.",1303,99,1402
PAT05-R02,PAT05,samsung_pwm_alloc,random_comparable,of_clk_get_by_name,clk_put,drivers/clocksource/samsung_pwm_timer.c,unknown,completed,consistent,no,n/a,[],"The function acquires a clock via of_clk_get_by_name and properly releases it with clk_put on the error path (err_clocksource). The resource does not escape; pwm is a static global variable, but the function does not return the clock or pass it to any framework that takes ownership. All error paths are correctly handled.",1132,133,1265
PAT05-R03,PAT05,running,random_comparable,of_clk_get_by_name,clk_put,net/mac80211/util.c,unknown,completed,consistent,no,n/a,[],"The candidate function does not contain any call to of_clk_get_by_name or similar clock acquisition functions. Therefore, the security-sensitive behavior described in the reference pattern is not present, and no defensive handling is required.",917,101,1018
PAT05-R04,PAT05,tsa_of_parse_tdms,random_comparable,of_clk_get_by_name,clk_put,drivers/soc/fsl/qe/tsa.c,unknown,completed,inconsistent,yes,n/a,"['In the err cleanup block, the wrong clock variables are used for l1tsync_clk and l1tclk_clk: l1tsync_clk is cleaned up using l1rsync_clk, and l1tclk_clk is cleaned up using l1rclk_clk.']","The function acquires and stores four clock pointers (l1rsync_clk, l1rclk_clk, l1tsync_clk, l1tclk_clk) in the tsa->tdm[] structure. On error, the err label attempts to release these clocks. However, the cleanup code for l1tsync_clk incorrectly uses l1rsync_clk, and the cleanup for l1tclk_clk incorrectly uses l1rclk_clk. This means the acquired l1tsync_clk and l1tclk_clk are never properly released, while l1rsync_clk and l1rclk_clk may be released twice (double-free). This is a real bug that can cause resource leaks and potential use-after-free or double-free issues.",2700,301,3001
PAT05-R05,PAT05,rk_timer_probe,random_comparable,of_clk_get_by_name,clk_put,drivers/clocksource/timer-rockchip.c,unknown,completed,inconsistent,yes,n/a,"['clk_put(timer_clk) before out_irq label', 'clk_put(pclk) before out_timer_clk label']","The function acquires clocks via of_clk_get_by_name but only calls clk_disable_unprepare on error paths, missing clk_put. This leaks the clock references. Specifically, on the out_irq path, timer_clk is disabled but not put; on the out_timer_clk path, pclk is disabled but not put. The clocks are stored in timer->pclk and timer->clk, which are local to the probe and not returned or passed to a framework that takes ownership, so the missing clk_put is a bug.",1309,214,1523
PAT05-R06,PAT05,imx6q_obtain_fixed_clk_hw,random_comparable,of_clk_get_by_name,clk_put,drivers/clk/imx/clk-imx6q.c,unknown,completed,consistent,no,n/a,[],"The function calls of_clk_get_by_name and obtains a clk pointer. If the call succeeds (not IS_ERR), it uses __clk_get_hw to get the hw and returns it. The clk is not released locally, but it escapes the function via the returned hw (which is derived from clk). Since the caller likely takes ownership or uses the hw, missing clk_put is not a bug. On error paths, the function does not acquire a resource that needs cleanup. No inconsistency found.",864,180,1044
PAT05-R07,PAT05,tpm_timer_init,random_comparable,of_clk_get_by_name,clk_put,drivers/clocksource/timer-imx-tpm.c,unknown,completed,inconsistent,yes,n/a,['clk_put(ipg) on error path after timer_of_init fails'],"The function acquires 'ipg' clock via of_clk_get_by_name and enables it via clk_prepare_enable. If timer_of_init fails, the function returns without releasing the clock (clk_put and clk_disable_unprepare), causing a resource leak. The clock is not stored in any escaping structure; it remains local and must be released on all error paths.",1298,159,1457
PAT05-R08,PAT05,at91_pm_get_eth_clks,random_comparable,of_clk_get_by_name,clk_put,arch/arm/mach-at91/pm.c,unknown,completed,consistent,no,n/a,[],"The function acquires two clocks via of_clk_get_by_name and stores them in a caller-provided array (clks). Since the clocks escape the function (they are stored in caller-owned memory), missing local clk_put is not a bug. On error after the first acquisition, the function returns immediately without releasing the first clock; however, the caller is responsible for cleanup of the array. This is a common pattern where ownership transfers to the caller. No defensive handling is missing in this function.",930,167,1097
PAT05-R09,PAT05,ingenic_tcu_probe,random_comparable,of_clk_get_by_name,clk_put,drivers/clk/ingenic/tcu.c,unknown,completed,consistent,no,n/a,[],The function acquires a clock via of_clk_get_by_name and properly cleans it up on all error paths (clk_disable_unprepare and clk_put). The clock does not escape the function (it is stored in a local structure that is not returned or registered externally before cleanup). No bug.,1870,125,1995
P06,PAT06,mtk_dp_dt_parse,detected_bug,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/mediatek/mtk_dp.c,bug,completed,inconsistent,yes,yes,['of_node_put(endpoint) on error paths and before return'],"The function calls of_graph_get_endpoint_by_regs, which returns a reference-counted device node. This reference must be released via of_node_put on all paths after successful acquisition. However, the function returns -EINVAL or other errors without calling of_node_put, and also returns 0 without releasing the reference. This causes a reference leak and potential use-after-free if the endpoint is used later without proper reference management.",1101,168,1269
PAT06-R01,PAT06,dsi_probe_of,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/omapdrm/dss/dsi.c,unknown,completed,consistent,no,n/a,[],"The function calls of_graph_get_endpoint_by_regs, which requires of_node_put on the returned node. The function correctly releases the node via of_node_put(ep) on both the success path (after use) and all error paths (in the err label). No leak or missing cleanup is present.",1090,126,1216
PAT06-R02,PAT06,anx7625_parse_dt,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/bridge/analogix/anx7625.c,unknown,completed,consistent,no,n/a,[],The function calls of_graph_get_endpoint_by_regs and correctly releases the reference with of_node_put(ep0) after use. No leak or missing cleanup is present.,1193,101,1294
PAT06-R03,PAT06,tc358743_probe_of,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/media/i2c/tc358743.c,unknown,completed,consistent,no,n/a,[],The function calls of_graph_get_endpoint_by_regs and properly releases the reference via of_node_put on all error paths and the success path (via goto free_endpoint which falls through to put_node). No leak or missing cleanup is present.,2060,113,2173
PAT06-R04,PAT06,tc_mipi_dsi_host_attach,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/bridge/tc358767.c,unknown,completed,consistent,no,n/a,[],"The function calls of_graph_get_endpoint_by_regs and of_graph_get_remote_port_parent, and both returned nodes are released via of_node_put before any error return. No leak or missing cleanup is present. The pattern's expected defensive behavior (of_node_put) is correctly applied.",1192,125,1317
PAT06-R05,PAT06,ov5647_parse_dt,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/media/i2c/ov5647.c,unknown,completed,consistent,no,n/a,[],"The function calls of_graph_get_endpoint_by_regs, which returns a reference-counted node. The function correctly stores the node in local variable 'ep', and on both the success and error paths (via the 'out' label), it calls of_node_put(ep) to release the reference. The resource does not escape; it remains local and is properly cleaned up. No defensive handling is missing.",936,147,1083
PAT06-R06,PAT06,mipid02_parse_rx_ep,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/media/i2c/st-mipid02.c,unknown,completed,consistent,no,n/a,[],The function correctly calls of_node_put on ep_node in all error paths (error_of_node_put and after v4l2_async_nf_add_fwnode_remote) and before the final return. No leak or missing cleanup is present.,1310,119,1429
PAT06-R07,PAT06,dp_panel_link_frequencies,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/msm/dp/dp_panel.c,unknown,completed,consistent,no,n/a,[],"The function calls of_graph_get_endpoint_by_regs and properly releases the endpoint with of_node_put after use. No leak or missing cleanup on the success path. The only error path is when endpoint is NULL, in which case the function returns 0 without acquiring a reference, so no release is needed. The pattern is correctly followed.",911,133,1044
PAT06-R08,PAT06,hdmi_bridge_init,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/gpu/drm/exynos/exynos_hdmi.c,unknown,completed,consistent,no,n/a,[],The function calls of_graph_get_endpoint_by_regs and properly releases the reference with of_node_put(ep) after use. It also releases np with of_node_put(np) after using it. No leak or missing cleanup is present.,910,112,1022
PAT06-R09,PAT06,mt9p031_get_pdata,random_comparable,of_graph_get_endpoint_by_regs,of_node_put,drivers/media/i2c/mt9p031.c,unknown,completed,consistent,no,n/a,[],The function calls of_graph_get_endpoint_by_regs and properly releases the reference via of_node_put on all exit paths (including error paths) before returning. No leak or missing cleanup is present.,1048,105,1153
P07,PAT07,cs35l56_hda_read_acpi,detected_bug,acpi_dev_get_first_match_dev,acpi_dev_put,sound/pci/hda/cs35l56_hda.c,bug,completed,inconsistent,yes,yes,['acpi_dev_put(adev) on error paths and before return'],"The function calls acpi_dev_get_first_match_dev() and assigns the result to adev. When the ACPI_COMPANION is not set, adev is acquired but never released via acpi_dev_put(). The function has multiple error paths (goto err) and a normal return path that do not call acpi_dev_put(). This leads to a reference leak of the ACPI device. The variable adev is local and does not escape the function (it is only used to set ACPI_COMPANION, which does not transfer ownership), so the missing release is a bug.",1705,203,1908
PAT07-R01,PAT07,gmin_i2c_dev_exists,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,drivers/staging/media/atomisp/pci/atomisp_gmin_platform.c,unknown,completed,consistent,no,n/a,[],The function calls acpi_dev_get_first_match_dev and properly releases the reference with acpi_dev_put after use. The resource does not escape; it is released before the function returns. No bug.,912,105,1017
PAT07-R02,PAT07,snd_byt_cht_cx2072x_probe,random_comparable,acpi_dev_get_first_match_dev,acpi_dev_put,sound/soc/intel/boards/bytcht_cx2072x.c,unknown,completed,consistent,no,n/a,[],The function calls acpi_dev_get_first_match_dev and correctly pairs it with acpi_dev_put after use. No leak or missing cleanup on any path.,1287,102,1389
