seed_defensive_op,func_name,var,security_sensitive_operation,security_sensitive_behavior,defensive_behavior
kfree,m10bmc_sec_probe,sec->fw_name,kmemdup_nul,"When kmemdup_nul duplicates the string into sec->fw_name, it creates memory leak risk because failure to free sec->fw_name leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing sec->fw_name before function exit.
kfree,qed_dcbnl_getcap,dcbx_info,qed_dcbnl_get_dcbx,"When qed_dcbnl_get_dcbx allocates memory for dcbx_info, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed at the end of the function to prevent memory leaks by releasing dcbx_info before function exit.
kfree,wfx_hif_add_key,hif,wfx_alloc_hif,"When wfx_alloc_hif allocates memory for hif, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after wfx_cmd_send to prevent memory leaks by releasing hif before function exit.
kfree,backend_changed,device_type,xenbus_read,"When xenbus_read reads the device type into device_type, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed after the use of device_type to prevent memory leaks by releasing the allocated memory before function exit.
kfree,comedi_unlocked_ioctl,insns,memdup_array_user,"When memdup_array_user duplicates memory for insns, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing insns before function exit.
kfree,sprd_dt_node_to_map,configs,pinconf_generic_parse_dt_config,"When pinconf_generic_parse_dt_config allocates memory for configs, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing configs before function exit.
kfree,tomoyo_init_log,realpath,tomoyo_realpath_from_path,"When tomoyo_realpath_from_path allocates memory for realpath, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing realpath before function exit.
kfree,ieee80211_process_tdls_channel_switch_resp,elems,ieee802_11_parse_elems,"When ieee802_11_parse_elems allocates memory for elems, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing elems before function exit.
kfree,mlx5hws_action_create_push_vlan,action,hws_action_create_generic,"When hws_action_create_generic allocates memory for action, it creates memory leak risk because failure to free action on error leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing action before function exit.
kfree,iwl_acpi_get_dsbr,data,iwl_acpi_get_object,"When iwl_acpi_get_object retrieves data, it creates a risk of memory leak because if the function fails after allocation, the allocated memory will not be freed.",The kfree is executed in error paths to prevent memory leaks by releasing data before function exit.
kfree,gpib_match_device_path,device_path,kobject_get_path,"When kobject_get_path allocates memory for device_path, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the comparison to prevent memory leaks by releasing device_path before function exit.
kfree,fan_mode_show,r,lg_wmab,"When lg_wmab allocates memory for r, it creates memory leak risk because failure to free r leads to resource exhaustion.",The kfree is executed when r is not of the expected type to prevent memory leaks by releasing r before function exit.
kfree,at91sam9n12_pmc_setup,at91sam9n12_pmc,pmc_data_allocate,"When pmc_data_allocate allocates memory for at91sam9n12_pmc, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing at91sam9n12_pmc before function exit.
kfree,nouveau_drm_postclose,cli,nouveau_cli,"When nouveau_cli() assigns cli, it creates use-after-free risk because cli is used after being removed from the client list and before being freed.",The kfree is executed at the end of the function to prevent memory leaks by releasing cli after its use is complete.
kfree,rtw_drvextra_cmd_hdl,pdrvextra_cmd->pbuf,rtw_hal_set_hwreg_with_buf,"When rtw_hal_set_hwreg_with_buf accesses pdrvextra_cmd->pbuf, it creates use-after-free risk because pdrvextra_cmd->pbuf may be freed before this access occurs.",The kfree is executed after checking pdrvextra_cmd->pbuf and its size to prevent memory leaks by releasing the allocated memory.
kfree,xs_talkv,ret,xs_wait_for_reply,"When xs_wait_for_reply(req, &msg) assigns to ret, it creates use-after-free risk because ret may be accessed after being freed if an error occurs.",The kfree is executed in the error handling path to prevent use-after-free vulnerabilities by releasing ret before returning.
kfree,__video_register_device,vdev->cdev,cdev_alloc,"When cdev_alloc allocates memory for vdev->cdev, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing vdev->cdev before function exit.
kfree,tcp_ao_info_cmd,ao_info,tcp_ao_alloc_info,"When tcp_ao_alloc_info allocates memory for ao_info, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing ao_info before function exit.
kfree,ensure_verity_info,desc,fsverity_get_descriptor,"When fsverity_get_descriptor retrieves a descriptor for inode, it creates a risk of memory leak because the allocated desc may not be freed if an error occurs later in the function.",The kfree is executed in the error handling path to prevent memory leaks by releasing desc before function exit.
kfree,__ieee80211_scan_completed,local->hw_scan_req,drv_hw_scan,"When drv_hw_scan is called with local->hw_scan_req, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed after a failed hardware scan to prevent memory leaks by releasing local->hw_scan_req before function exit.
kfree,intel_iommu_domain_alloc_first_stage,dmar_domain,paging_domain_alloc,"When paging_domain_alloc allocates memory for dmar_domain, it creates memory leak risk because failure to free leads to resource exhaustion if pt_iommu_x86_64_init fails.",The kfree is executed in error paths to prevent memory leaks by releasing dmar_domain before function exit.
kfree,amdgpu_ttm_tt_pin_userptr,ttm->sg,sg_alloc_table_from_pages,"When sg_alloc_table_from_pages allocates memory for ttm->sg, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing ttm->sg before function exit.
kfree,evm_init_hmac,desc,init_desc,"When init_desc initializes desc, it creates memory leak risk because failure to free desc leads to resource exhaustion.",The kfree is executed at the end of the function to prevent memory leaks by releasing desc before function exit.
kfree,nd_region_register_namespaces,devs,create_relevant_namespaces,"When create_relevant_namespaces allocates memory for devs, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after processing devs to prevent memory leaks by releasing devs before function exit.
kfree,brcmf_notify_sched_scan_results,request,brcmf_alloc_internal_escan_request,"When brcmf_alloc_internal_escan_request allocates memory for request, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing request before function exit.
kfree,user_events_ioctl_reg,name,user_event_parse_cmd,"When user_event_parse_cmd parses the command using name, it creates memory leak risk because failure to free the allocated memory for name leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing name before function exit.
kfree,rpcb_register_inet4,map->r_addr,rpc_sockaddr2uaddr,"When rpc_sockaddr2uaddr allocates memory for map->r_addr, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the rpcb_register_call to prevent memory leaks by releasing map->r_addr before function exit.
kfree,current_value_show,obj,get_wmiobj_pointer,"When get_wmiobj_pointer retrieves a pointer for obj, it creates null pointer dereference risk because obj may be NULL if the function fails to allocate or retrieve the object.",The kfree is executed in error paths to prevent memory leaks by releasing obj before function exit.
kfree,tegra_pinctrl_dt_subnode_to_map,configs,pinctrl_utils_add_config,"When pinctrl_utils_add_config allocates memory for configs, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the exit path to prevent memory leaks by releasing configs before function exit.
kfree,opp_parse_supplies,microwatt,_parse_named_prop,"When _parse_named_prop allocates memory for microwatt, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing microwatt before function exit.
kfree,tls_set_device_offload,offload_ctx,alloc_offload_ctx_tx,"When alloc_offload_ctx_tx allocates memory for offload_ctx, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing offload_ctx before function exit.
kfree,intel_vgpu_ioctl,data,memdup_user,"When memdup_user duplicates user data into data, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after intel_vgpu_set_irqs to prevent memory leaks by releasing data before function exit.
kfree,audit_alloc,key,audit_filter_task,"When audit_filter_task() assigns a value to key, it creates a memory leak risk because if audit_alloc_context() fails, key is not freed.",The kfree is executed in the error path to prevent memory leaks by releasing key before function exit.
kfree,xfrm_add_policy,xp,xfrm_policy_construct,"When xfrm_policy_construct constructs xp, it creates a memory leak risk because failure to free xp leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing xp before function exit.
kfree,uclogic_params_pen_init_v1,buf,uclogic_params_get_str_desc,"When uclogic_params_get_str_desc allocates memory for buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing buf before function exit.
kfree,apparmor_socket_getpeersec_stream,name,aa_label_asxprint,"When aa_label_asxprint allocates memory for name, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing name before function exit.
kfree,ovl_index_upper,fh,ovl_get_fh,"When ovl_get_fh allocates memory for fh, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after decoding the real file handle to prevent memory leaks by releasing fh before function exit.
kfree,scx200_create_dev,iface,scx200_create_iface,"When scx200_create_iface allocates memory for iface, it creates memory leak risk because failure to free iface on error paths leads to resource exhaustion.",The kfree is executed in the error handling path to prevent memory leaks by releasing iface before function exit.
kfree,intel_engine_cmd_parser,jump_whitelist,alloc_whitelist,"When alloc_whitelist allocates memory for jump_whitelist, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed at the end of the function to prevent memory leaks by releasing jump_whitelist before function exit.
kfree,netfs_perform_write,finfo,kzalloc,"When kzalloc allocates memory for finfo, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing finfo before function exit.
kfree,sel_make_perm_files,perms,security_get_permissions,"When security_get_permissions allocates memory for perms, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing perms[i] after use.
kfree,hp_wmi_wstrdup,src,hp_wmi_strdup,"When hp_wmi_strdup duplicates the string from src, it creates memory leak risk because src is allocated memory that must be freed after use.",The kfree is executed after the use of src to prevent memory leaks by releasing the memory allocated for src.
kfree,rtw_fw_download_rsvd_page,buf,rtw_build_rsvd_page,"When rtw_build_rsvd_page allocates memory for buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing buf before function exit.
kfree,bond_ns_send_all,tags,bond_verify_device_path,"When bond_verify_device_path is called, it creates memory leak risk because if tags is allocated and not freed, it leads to resource exhaustion.",The kfree is executed after the use of tags to prevent memory leaks by releasing tags before function exit.
kfree,add_links,target,get_link_target,"When get_link_target retrieves a target string for the node, it creates memory leak risk because failure to free the allocated target string leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing the allocated target string before function exit.
kfree,btrfs_discard_extent,stripes,btrfs_map_discard,"When btrfs_map_discard allocates memory for stripes, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing stripes before function exit.
kfree,virtqueue_add_indirect_packed,desc,alloc_indirect_packed,"When alloc_indirect_packed allocates memory for desc, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed when vq->vq.num_free < 1 to prevent memory leaks by releasing desc before function exit.
kfree,mlx5e_init_fib_work_ipv6,fib_work,mlx5e_tc_init_fib_work,"When mlx5e_tc_init_fib_work allocates memory for fib_work, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing fib_work before function exit.
kfree,nfs_referral_loop_unprotect,p,nfs_find_referral_count,"When nfs_find_referral_count() assigns to p, it creates use-after-free risk because p may be decremented and freed without proper checks if it is NULL.",The kfree is executed when p is NULL to prevent use-after-free by releasing the memory allocated for p.
kfree,ecryptfs_init_crypt_ctx,full_alg_name,ecryptfs_crypto_api_algify_cipher_name,"When ecryptfs_crypto_api_algify_cipher_name allocates memory for full_alg_name, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing full_alg_name before function exit.
kfree,smc_llc_process_srv_add_link,qentry,smc_llc_flow_qentry_clr,"When smc_llc_flow_qentry_clr clears and assigns qentry, it creates use-after-free risk because qentry may be used after it is freed if not properly managed.",The kfree is executed after the use of qentry to prevent memory leaks by releasing the allocated memory for qentry.
kfree,qaic_gem_prime_import,bo,qaic_alloc_init_bo,"When qaic_alloc_init_bo allocates memory for bo, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing bo before function exit.
kfree,ib_uverbs_post_send,ud,alloc_wr,"When alloc_wr allocates memory for ud, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing ud before function exit.
kfree,btrfs_control_ioctl,vol,memdup_user,"When memdup_user duplicates user data into vol, it creates memory leak risk because failure to free vol leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing vol before function exit.
kfree,it821x_probe_firmware,buf,it821x_firmware_command,"When it821x_firmware_command allocates memory for buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after buf is used to prevent memory leaks by releasing buf before function exit.
kfree,mtk_gem_create,mtk_gem,mtk_gem_init,"When mtk_gem_init initializes mtk_gem, it creates memory leak risk because if dma_alloc_attrs fails, mtk_gem must be freed to avoid resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing mtk_gem before function exit.
kfree,tcf_action_offload_add_ex,fl_action,offload_action_alloc,"When offload_action_alloc allocates memory for fl_action, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing fl_action before function exit.
kfree,b43_bcma_probe,dev,b43_bus_dev_bcma_init,"When b43_bus_dev_bcma_init initializes dev, it creates memory leak risk because failure to free dev in error paths leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing dev before function exit.
kfree,ibm_slot_from_id,table,ibm_get_table_from_acpi,"When ibm_get_table_from_acpi retrieves the table into table, it creates a memory leak risk because the allocated memory for table must be freed to avoid resource exhaustion.",The kfree is executed at the end of the function to prevent memory leaks by releasing the memory allocated for table.
kfree,mv88e6393x_pcs_init,mpcs,mv88e639x_pcs_alloc,"When mv88e639x_pcs_alloc allocates memory for mpcs, it creates memory leak risk because failure to free leads to resource exhaustion if an error occurs later in the function.",The kfree is executed in error paths to prevent memory leaks by releasing mpcs before function exit.
kfree,idpf_vector_to_queue_set,qs,idpf_alloc_queue_set,"When idpf_alloc_queue_set allocates memory for qs, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the finalize section to prevent memory leaks by releasing qs before function exit.
kfree,iort_node_get_rmr_info,sids,iort_rmr_alloc_sids,"When iort_rmr_alloc_sids allocates memory for sids, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after the use of sids to prevent memory leaks by releasing sids before function exit.
kfree,mesh_path_add,new_mpath,mesh_path_new,"When mesh_path_new allocates memory for new_mpath, it creates memory leak risk because failure to free leads to resource exhaustion if mpath is found.",The kfree is executed when mpath is found to prevent memory leaks by releasing new_mpath before function exit.
kfree,r535_devinit_new,rm,nv50_devinit_new_,"When nv50_devinit_new_ is called with rm, it creates memory leak risk because if nv50_devinit_new_ fails, rm will not be freed.",The kfree is executed in the error path to prevent memory leaks by releasing rm before function exit.
kfree,get_comp_opts,actor,squashfs_page_actor_init,"When squashfs_page_actor_init initializes actor, it creates use-after-free risk because actor may be used after being freed if not properly managed.",The kfree is executed in the out cleanup section to prevent memory leaks by releasing actor before function exit.
kfree,nfsd4_umh_cltrack_init,grace_start,nfsd4_cltrack_grace_start,"When nfsd4_cltrack_grace_start allocates memory for grace_start, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed when the net is not &init_net to prevent memory leaks by releasing grace_start before function exit.
kfree,wcn36xx_tm_cmd_ptt,rsp,wcn36xx_smd_process_ptt_msg,"When wcn36xx_smd_process_ptt_msg processes msg, it creates memory leak risk because rsp may be allocated and not freed if it is not equal to msg.",The kfree is executed in the cleanup section to prevent memory leaks by releasing rsp if it is not the same as msg.
kfree,sev_launch_start,session_blob,psp_copy_user_blob,"When psp_copy_user_blob(params.session_uaddr, params.session_len) allocates memory for session_blob, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing session_blob before function exit.
kfree,tlmi_get_bios_selections,obj,tlmi_extract_output_string,"When tlmi_extract_output_string extracts a string from obj, it creates use-after-free risk because obj is freed immediately after this operation without ensuring it is not accessed again.",The kfree is executed after the extraction to prevent memory leaks by releasing obj that is no longer needed.
kfree,pattern_init,pattern,led_get_default_pattern,"When led_get_default_pattern allocates memory for pattern, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing pattern before function exit.
kfree,acpi_processor_post_eject,pr,acpi_driver_data,"When acpi_driver_data retrieves data for pr, it creates a risk of use-after-free because pr is used after being potentially freed if not handled correctly.",The kfree is executed in the cleanup section to prevent memory leaks by releasing pr after its use.
kfree,__netif_set_xps_queue,new_map,xmap_dereference,"When xmap_dereference dereferences new_dev_maps->attr_map[tci], it creates use-after-free risk because new_map may point to freed memory if not properly managed.",The kfree is executed in the error handling section to prevent memory leaks by releasing new_map if it was allocated but not used.
kfree,sgx_encl_eaug_page,encl_page,sgx_encl_page_alloc,"When sgx_encl_page_alloc allocates memory for encl_page, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing encl_page before function exit.
kfree,enqueue_events,old_event,event_queue_push,"When event_queue_push is called with dev_data->events and queue_event, it creates use-after-free risk because old_event may reference memory that has already been freed if not properly managed.",The kfree is executed after the event is pushed to the queue to prevent memory leaks by releasing old_event that is no longer needed.
kfree,intel_bios_vbt_show,vbt,intel_bios_get_vbt,"When intel_bios_get_vbt allocates memory for vbt, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after seq_write to prevent memory leaks by releasing vbt after its use.
kfree,erofs_xattr_prefixes_init,ptr,erofs_read_metadata,"When erofs_read_metadata reads metadata into ptr, it creates memory leak risk because failure to free ptr on error leads to resource exhaustion.",The kfree is executed in the error handling path to prevent memory leaks by releasing ptr before function exit.
kfree,tipc_aead_decrypt,ctx,tipc_aead_mem_alloc,"When tipc_aead_mem_alloc allocates memory for ctx, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the exit section to prevent memory leaks by releasing ctx before function exit.
kfree,run_helper,data.buf,uml_kmalloc,"When uml_kmalloc allocates memory for data.buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing data.buf before function exit.
kfree,fman_port_init,port->cfg,fman_sp_build_buffer_struct,"When fman_sp_build_buffer_struct modifies port->cfg, it creates a memory leak risk because failing to free port->cfg leads to resource exhaustion.",The kfree is executed at the end of the function to prevent memory leaks by releasing port->cfg before function exit.
kfree,tomoyo_path_perm,symlink_target.name,tomoyo_encode,"When tomoyo_encode encodes target on symlink_target.name, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed after the operation TOMOYO_TYPE_SYMLINK to prevent memory leaks by releasing symlink_target.name before function exit.
kfree,garmin_flush_queue,pkt,pkt_pop,"When pkt_pop retrieves a packet for pkt, it creates use-after-free risk because pkt may be accessed after being freed if not properly managed.",The kfree is executed after sending data to prevent memory leaks by releasing pkt that is no longer needed.
kfree,fib6_new_table,new_tb,fib6_alloc_table,"When fib6_alloc_table allocates memory for new_tb, it creates memory leak risk because failure to free new_tb leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing new_tb before function exit.
kfree,dfl_feature_ioctl_set_irq,fds,memdup_array_user,"When memdup_array_user duplicates user data into fds, it creates memory leak risk because failure to free fds leads to resource exhaustion.",The kfree is executed after dfl_fpga_set_irq_triggers to prevent memory leaks by releasing fds after its use.
kfree,smsusb_init_device,mdev,siano_media_device_register,"When siano_media_device_register allocates memory for mdev, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing mdev before function exit.
kfree,iommufd_hwpt_replace_device,old_handle,iommufd_device_get_attach_handle,"When iommufd_device_get_attach_handle retrieves old_handle, it creates a risk of memory leak because failure to free old_handle leads to resource exhaustion.",The kfree is executed in the error path to prevent memory leaks by releasing old_handle before function exit.
kfree,pod_set_system_param_int,sysex,pod_alloc_sysex_buffer,"When pod_alloc_sysex_buffer allocates memory for sysex, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after line6_send_sysex_message to prevent memory leaks by releasing sysex after its use.
kfree,nfs_dns_resolve_name,ip_addr,dns_query,"When dns_query queries for the IP address and assigns it to ip_addr, it creates memory leak risk because failure to free ip_addr leads to resource exhaustion.",The kfree is executed after the use of ip_addr to prevent memory leaks by releasing the allocated memory.
kfree,__sseu_test,spin,__sseu_prepare,"When __sseu_prepare allocates memory for spin, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in the out_spin cleanup section to prevent memory leaks by releasing spin before function exit.
kfree,svc_rdma_create,cma_xprt,svc_rdma_create_xprt,"When svc_rdma_create_xprt allocates memory for cma_xprt, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing cma_xprt before function exit.
kfree,selinux_ima_measure_state_locked,state_str,selinux_ima_collect_state,"When selinux_ima_collect_state() assigns to state_str, it creates memory leak risk because failure to free state_str leads to resource exhaustion.",The kfree is executed after the use of state_str to prevent memory leaks by releasing state_str before function exit.
kfree,nixge_probe,mac_addr,nixge_get_nvmem_address,"When nixge_get_nvmem_address retrieves mac_addr, it creates memory leak risk because failure to free the allocated memory leads to resource exhaustion.",The kfree is executed after setting the hardware address to prevent memory leaks by releasing mac_addr after its use.
kfree,rpl_build_state,newts,lwtunnel_state_alloc,"When lwtunnel_state_alloc allocates memory for newts, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing newts before function exit.
kfree,create_worker,worker,alloc_worker,"When alloc_worker allocates memory for worker, it creates memory leak risk because failure to free leads to resource exhaustion if the function exits prematurely due to an error.",The kfree is executed in the fail path to prevent memory leaks by releasing worker before function exit.
kfree,sdio_local_write,tmpbuf,rtw_malloc,"When rtw_malloc allocates memory for tmpbuf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed after sd_write to prevent memory leaks by releasing tmpbuf before function exit.
kfree,rtw89_regd_setup_reg_rules,ptr,rtw89_acpi_evaluate_dsm,"When rtw89_acpi_evaluate_dsm evaluates the policy reg-rules and assigns to ptr, it creates memory leak risk because ptr is allocated memory that must be freed after use.",The kfree is executed after using ptr to prevent memory leaks by releasing the allocated memory before function exit.
kfree,mknod_wsl,buf,wsl_set_reparse_buf,"When wsl_set_reparse_buf allocates memory for buf, it creates memory leak risk because failure to free leads to resource exhaustion.",The kfree is executed in error paths to prevent memory leaks by releasing buf before function exit.
kfree,arm_idle_init,drv,cpuidle_get_cpu_driver,"When cpuidle_get_cpu_driver(dev) assigns to drv, it creates use-after-free risk because drv may be used after being freed if not properly managed.",The kfree is executed in the error handling path to prevent memory leaks by releasing drv before function exit.
kfree,ubifs_create_dflt_lpt,desc,ubifs_hash_get_desc,"When ubifs_hash_get_desc retrieves desc, it creates memory leak risk because failure to free desc leads to resource exhaustion.",The kfree is executed in the cleanup section to prevent memory leaks by releasing desc before function exit.
kfree,binder_proc_transaction,t_outdated,binder_find_outdated_transaction_ilocked,"When binder_find_outdated_transaction_ilocked retrieves t_outdated, it creates a use-after-free risk because t_outdated may be accessed after it has been freed if not properly handled.",The kfree is executed after releasing the locks to prevent memory leaks by freeing t_outdated when it is no longer needed.
