sample_index,seed_defensive_op,func_name,var,security_sensitive_operation,sample_reason,source_kind,source_reference,code_excerpt
29,kfree,at91sam9n12_pmc_setup,at91sam9n12_pmc,pmc_data_allocate,paper_table_operation,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
30,kfree,nouveau_drm_postclose,cli,nouveau_cli,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
31,kfree,rtw_drvextra_cmd_hdl,pdrvextra_cmd->pbuf,rtw_hal_set_hwreg_with_buf,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
32,kfree,xs_talkv,ret,xs_wait_for_reply,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
33,kfree,__video_register_device,vdev->cdev,cdev_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
34,kfree,tcp_ao_info_cmd,ao_info,tcp_ao_alloc_info,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
35,kfree,ensure_verity_info,desc,fsverity_get_descriptor,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
36,kfree,__ieee80211_scan_completed,local->hw_scan_req,drv_hw_scan,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
37,kfree,intel_iommu_domain_alloc_first_stage,dmar_domain,paging_domain_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
38,kfree,amdgpu_ttm_tt_pin_userptr,ttm->sg,sg_alloc_table_from_pages,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
39,kfree,evm_init_hmac,desc,init_desc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
40,kfree,nd_region_register_namespaces,devs,create_relevant_namespaces,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
41,kfree,brcmf_notify_sched_scan_results,request,brcmf_alloc_internal_escan_request,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
42,kfree,user_events_ioctl_reg,name,user_event_parse_cmd,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
43,kfree,rpcb_register_inet4,map->r_addr,rpc_sockaddr2uaddr,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
44,kfree,current_value_show,obj,get_wmiobj_pointer,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
45,kfree,tegra_pinctrl_dt_subnode_to_map,configs,pinctrl_utils_add_config,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
46,kfree,opp_parse_supplies,microwatt,_parse_named_prop,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
47,kfree,tls_set_device_offload,offload_ctx,alloc_offload_ctx_tx,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
48,kfree,intel_vgpu_ioctl,data,memdup_user,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
49,kfree,audit_alloc,key,audit_filter_task,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
50,kfree,xfrm_add_policy,xp,xfrm_policy_construct,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
51,kfree,uclogic_params_pen_init_v1,buf,uclogic_params_get_str_desc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
52,kfree,apparmor_socket_getpeersec_stream,name,aa_label_asxprint,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
53,kfree,ovl_index_upper,fh,ovl_get_fh,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
54,kfree,scx200_create_dev,iface,scx200_create_iface,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
55,kfree,intel_engine_cmd_parser,jump_whitelist,alloc_whitelist,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
56,kfree,netfs_perform_write,finfo,kzalloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
57,kfree,sel_make_perm_files,perms,security_get_permissions,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
58,kfree,hp_wmi_wstrdup,src,hp_wmi_strdup,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
59,kfree,rtw_fw_download_rsvd_page,buf,rtw_build_rsvd_page,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
60,kfree,bond_ns_send_all,tags,bond_verify_device_path,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
61,kfree,add_links,target,get_link_target,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
62,kfree,btrfs_discard_extent,stripes,btrfs_map_discard,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
63,kfree,virtqueue_add_indirect_packed,desc,alloc_indirect_packed,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
64,kfree,mlx5e_init_fib_work_ipv6,fib_work,mlx5e_tc_init_fib_work,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
65,kfree,nfs_referral_loop_unprotect,p,nfs_find_referral_count,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
66,kfree,ecryptfs_init_crypt_ctx,full_alg_name,ecryptfs_crypto_api_algify_cipher_name,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
67,kfree,smc_llc_process_srv_add_link,qentry,smc_llc_flow_qentry_clr,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
68,kfree,qaic_gem_prime_import,bo,qaic_alloc_init_bo,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
69,kfree,ib_uverbs_post_send,ud,alloc_wr,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
70,kfree,btrfs_control_ioctl,vol,memdup_user,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
71,kfree,it821x_probe_firmware,buf,it821x_firmware_command,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
72,kfree,mtk_gem_create,mtk_gem,mtk_gem_init,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
73,kfree,tcf_action_offload_add_ex,fl_action,offload_action_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
74,kfree,b43_bcma_probe,dev,b43_bus_dev_bcma_init,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
75,kfree,ibm_slot_from_id,table,ibm_get_table_from_acpi,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
76,kfree,mv88e6393x_pcs_init,mpcs,mv88e639x_pcs_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
77,kfree,idpf_vector_to_queue_set,qs,idpf_alloc_queue_set,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
78,kfree,iort_node_get_rmr_info,sids,iort_rmr_alloc_sids,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
79,kfree,mesh_path_add,new_mpath,mesh_path_new,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
80,kfree,r535_devinit_new,rm,nv50_devinit_new_,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
81,kfree,get_comp_opts,actor,squashfs_page_actor_init,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
82,kfree,nfsd4_umh_cltrack_init,grace_start,nfsd4_cltrack_grace_start,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
83,kfree,wcn36xx_tm_cmd_ptt,rsp,wcn36xx_smd_process_ptt_msg,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
84,kfree,sev_launch_start,session_blob,psp_copy_user_blob,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
85,kfree,tlmi_get_bios_selections,obj,tlmi_extract_output_string,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
86,kfree,pattern_init,pattern,led_get_default_pattern,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
87,kfree,acpi_processor_post_eject,pr,acpi_driver_data,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
88,kfree,__netif_set_xps_queue,new_map,xmap_dereference,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
89,kfree,sgx_encl_eaug_page,encl_page,sgx_encl_page_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
90,kfree,enqueue_events,old_event,event_queue_push,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
91,kfree,intel_bios_vbt_show,vbt,intel_bios_get_vbt,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
92,kfree,erofs_xattr_prefixes_init,ptr,erofs_read_metadata,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
93,kfree,tipc_aead_decrypt,ctx,tipc_aead_mem_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
94,kfree,run_helper,data.buf,uml_kmalloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
95,kfree,fman_port_init,port->cfg,fman_sp_build_buffer_struct,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
96,kfree,tomoyo_path_perm,symlink_target.name,tomoyo_encode,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
97,kfree,garmin_flush_queue,pkt,pkt_pop,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
98,kfree,fib6_new_table,new_tb,fib6_alloc_table,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
99,kfree,dfl_feature_ioctl_set_irq,fds,memdup_array_user,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
100,kfree,smsusb_init_device,mdev,siano_media_device_register,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
101,kfree,iommufd_hwpt_replace_device,old_handle,iommufd_device_get_attach_handle,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
102,kfree,pod_set_system_param_int,sysex,pod_alloc_sysex_buffer,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
103,kfree,nfs_dns_resolve_name,ip_addr,dns_query,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
104,kfree,__sseu_test,spin,__sseu_prepare,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
105,kfree,svc_rdma_create,cma_xprt,svc_rdma_create_xprt,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
106,kfree,selinux_ima_measure_state_locked,state_str,selinux_ima_collect_state,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
107,kfree,nixge_probe,mac_addr,nixge_get_nvmem_address,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
108,kfree,rpl_build_state,newts,lwtunnel_state_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
109,kfree,create_worker,worker,alloc_worker,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
110,kfree,sdio_local_write,tmpbuf,rtw_malloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
111,kfree,rtw89_regd_setup_reg_rules,ptr,rtw89_acpi_evaluate_dsm,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
112,kfree,mknod_wsl,buf,wsl_set_reparse_buf,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
113,kfree,arm_idle_init,drv,cpuidle_get_cpu_driver,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
114,kfree,ubifs_create_dflt_lpt,desc,ubifs_hash_get_desc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
115,kfree,binder_proc_transaction,t_outdated,binder_find_outdated_transaction_ilocked,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
116,kfree,dw_edma_start_transfer,child,dw_edma_free_burst,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
117,kfree,caam_algapi_hash_init,t_alg,caam_hash_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
118,kfree,rndis_filter_device_add,rndis_device,get_rndis_device,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
119,kfree,snd_ivtv_init,itvsc,snd_ivtv_card_create,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
120,kfree,snd_seq_open,client,seq_create_client1,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
121,kfree,resume_queues,queue_ids,get_queue_ids,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
122,kfree,calibrate_8960,data,qfprom_read,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
123,kfree,rxrpc_request_key,description,request_key_net,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
124,kfree,gpio_mdio_probe,new_bus,mdiobus_alloc,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
125,kfree,exclude_super_stripes,logical,btrfs_rmap_block,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
126,kfree,parse_field,str,kstrdup,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
127,kfree,cs35l41_load_tuning_params,tuning_param_filename,cs35l41_request_tuning_param_file,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
128,kfree,ovl_own_xattr_set,escaped,ovl_xattr_escape_name,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
129,kfree,ieee80211_prep_channel,elems,ieee80211_determine_chan_mode,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
130,kfree,maven_probe,data,maven_init_client,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
131,kfree,stm32_cryp_aead_prepare,cryp->header_sg,stm32_cryp_truncate_sg,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
132,kfree,ubifs_write_rcvrd_mst_node,c->rcvrd_mst_node,write_rcvrd_mst_node,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
133,kfree,fsl_lbc_syscore_resume,ctrl->saved_regs,_memcpy_toio,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
134,kfree,acpi_device_override_status,path.pointer,acpi_get_name,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
135,kfree,exynos_icc_get_parent,icc_node_data,of_icc_get_from_provider,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
136,kfree,iwl_uefi_get_dsbr,data,iwl_uefi_get_verified_variable_guid,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
137,kfree,ucc_geth_memclean,ugeth->p_init_enet_param_shadow,return_init_enet_entries,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
138,kfree,amdgpu_dm_plane_init,modifiers,amdgpu_dm_plane_get_plane_modifiers,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
139,kfree,sctp_setsockopt,kopt,memdup_sockptr,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
140,kfree,brcmf_msgbuf_flowring_worker,create,brcmf_msgbuf_flowring_create_worker,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
141,kfree,btrfs_init_sprout,seed_devices,alloc_fs_devices,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
142,kfree,tegra_bpmp_init_clocks,clocks,tegra_bpmp_probe_clocks,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
143,kfree,mlx5_reclaim_startup_pages,root,mlx5_reclaim_root_pages,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
144,kfree,virtio_vdpa_find_vqs,masks,create_affinity_masks,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
145,kfree,dup_user_cpus_ptr,user_mask,alloc_user_cpus_ptr,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
146,kfree,p9dirent_read,nameptr,p9pdu_readf,deterministic_random_fill,historical_pattern,kfree_deepseek_v3_2_model_DeepSeek-V3.2_ts20260202_154716.parsed.json,
